Target: http://cozyhosting.htb/
Total requests: 4989
==================================================================
ID    Response   Lines      Word         Chars          Request    
==================================================================
00209:  C=301      7 L	      12 W	    178 Ch	  "painel"
00208:  C=301      7 L	      12 W	    178 Ch	  "lyncdiscover"
00207:  C=301      7 L	      12 W	    178 Ch	  "construtor"
00206:  C=301      7 L	      12 W	    178 Ch	  "billing"
00202:  C=301      7 L	      12 W	    178 Ch	  "irc"
00205:  C=301      7 L	      12 W	    178 Ch	  "dl"
00204:  C=301      7 L	      12 W	    178 Ch	  "qa"
00201:  C=301      7 L	      12 W	    178 Ch	  "es"
00200:  C=301      7 L	      12 W	    178 Ch	  "redmine"
00199:  C=301      7 L	      12 W	    178 Ch	  "gallery"
00198:  C=301      7 L	      12 W	    178 Ch	  "www5"
00197:  C=301      7 L	      12 W	    178 Ch	  "lib"
00194:  C=301      7 L	      12 W	    178 Ch	  "game"
00196:  C=301      7 L	      12 W	    178 Ch	  "access"
00190:  C=301      7 L	      12 W	    178 Ch	  "citrix"
00193:  C=301      7 L	      12 W	    178 Ch	  "connect"
00192:  C=301      7 L	      12 W	    178 Ch	  "voip"
00212:  C=301      7 L	      12 W	    178 Ch	  "a"
00214:  C=301      7 L	      12 W	    178 Ch	  "mail4"
00218:  C=301      7 L	      12 W	    178 Ch	  "dbadmin"
00234:  C=301      7 L	      12 W	    178 Ch	  "content"
00226:  C=301      7 L	      12 W	    178 Ch	  "t"
00233:  C=301      7 L	      12 W	    178 Ch	  "ws"
00232:  C=301      7 L	      12 W	    178 Ch	  "www.webmail"
00230:  C=301      7 L	      12 W	    178 Ch	  "images2"
00231:  C=301      7 L	      12 W	    178 Ch	  "mx3"
00229:  C=301      7 L	      12 W	    178 Ch	  "pgadmin"
00228:  C=301      7 L	      12 W	    178 Ch	  "rss"
00225:  C=301      7 L	      12 W	    178 Ch	  "phpmyadmin"
00227:  C=301      7 L	      12 W	    178 Ch	  "reports"
00224:  C=301      7 L	      12 W	    178 Ch	  "mailer"
00223:  C=301      7 L	      12 W	    178 Ch	  "www.beta"
00222:  C=301      7 L	      12 W	    178 Ch	  "webmail2"
00221:  C=301      7 L	      12 W	    178 Ch	  "music"
00220:  C=301      7 L	      12 W	    178 Ch	  "jabber"
00219:  C=301      7 L	      12 W	    178 Ch	  "manage"
00216:  C=301      7 L	      12 W	    178 Ch	  "iphone"
00217:  C=301      7 L	      12 W	    178 Ch	  "server2"
00213:  C=301      7 L	      12 W	    178 Ch	  "pgsql"
00215:  C=301      7 L	      12 W	    178 Ch	  "tools"
00235:  C=301      7 L	      12 W	    178 Ch	  "sv"
00237:  C=301      7 L	      12 W	    178 Ch	  "community"
